ID,Foci_Count,Foci_Group_Count,Foci_Area,Levels,Area,Zone
1,855,5,22,6,22,1
2,11,7,63,2,63,1
3,21,16,142,4,142,2
4,8,7,60,4,60,2
5,404,21,144,4,144,2
6,27,17,127,3,127,2
7,379,13,82,4,82,2
8,14,10,73,4,73,2
9,16,13,79,3,79,2
10,15,11,83,4,83,2
11,18,14,116,3,116,2
12,12,11,75,4,75,2
13,181,10,57,6,57,2
14,9,7,86,4,86,3
15,7,3,69,3,69,2
16,22,17,90,3,90,2
17,13,8,92,3,92,2
18,43,31,252,3,252,2
19,13,10,72,4,72,3
20,10,9,76,5,76,3
21,285,10,100,3,100,3
22,18,14,108,3,108,2
23,39,29,245,2,245,2
24,14,12,69,1,69,2
25,28,24,193,2,193,2
26,309,12,66,3,66,2
27,319,11,95,4,95,2
28,23,19,129,2,129,2
29,16,14,163,4,163,2
30,12,8,73,4,73,2
31,14,12,107,3,107,2
32,16,14,104,3,104,2
33,145,7,58,4,58,2
34,21,14,132,2,132,2
35,26,19,185,2,185,2
36,6,5,94,2,94,2
37,191,15,70,3,70,2
38,240,5,32,5,32,2
39,28,21,125,1,125,2
40,21,16,170,2,170,2
41,3,3,72,2,72,2
42,18,14,85,1,85,2
43,10,7,80,3,80,2
44,945,1,0,6,0,2
45,50,38,280,2,280,2
46,17,10,110,1,110,2
47,32,25,190,2,190,2
48,17,15,87,2,87,2
49,15,12,100,3,100,2
50,35,25,242,2,242,2
51,12,7,76,3,76,2
52,8,7,73,3,73,2
53,32,26,191,2,191,2
54,22,18,123,2,123,2
55,6,4,91,2,91,2
56,33,22,163,4,163,2
57,392,11,105,2,105,2
58,24,17,87,3,87,2
59,15,13,110,2,110,2
60,27,19,266,2,266,2
61,10,7,56,4,56,2
62,21,17,103,3,103,2
63,15,11,91,3,91,2
64,14,11,115,3,115,2
65,7,4,72,4,72,2
66,29,18,165,2,165,2
67,10,6,59,3,59,2
68,11,11,67,4,67,2
69,11,8,87,3,87,2
70,13,10,106,3,106,2
71,11,9,108,3,108,2
72,19,15,181,2,181,2
73,20,13,106,3,106,2
74,11,7,84,4,84,2
75,8,8,106,2,106,2
76,15,8,105,3,105,2
77,8,7,87,1,87,2
78,10,7,62,4,62,2
79,19,15,105,3,105,2
80,28,21,269,1,269,2
81,20,18,107,2,107,2
82,252,10,75,4,75,2
83,25,19,158,2,158,2
84,11,8,70,3,70,2
85,18,11,74,3,74,2
86,21,15,166,2,166,2
87,10,8,103,3,103,2
88,25,17,110,1,110,2
89,19,14,112,3,112,2
90,13,11,137,4,137,2
91,12,10,81,3,81,2
92,21,15,151,2,151,2
93,22,14,107,1,107,2
94,10,8,53,4,53,2
95,21,18,222,2,222,2
96,15,11,76,3,76,2
97,31,22,154,1,154,2
98,512,19,121,4,121,2
99,19,15,100,3,100,2
100,28,15,129,2,129,2
101,20,16,106,3,106,2
102,19,13,120,3,120,2
103,15,11,67,2,67,2
104,8,6,87,2,87,2
105,6,2,75,2,75,2
106,17,11,97,3,97,2
107,12,10,71,1,71,2
108,12,10,85,3,85,2
109,17,12,112,2,112,2
110,27,21,203,2,203,2
111,37,23,178,2,178,2
112,7,6,114,2,114,2
113,187,14,68,3,68,2
114,17,11,137,2,137,2
115,19,17,87,3,87,2
116,257,4,21,5,21,2
117,44,31,305,1,305,2
118,29,22,200,2,200,2
119,13,11,103,2,103,2
120,11,8,108,4,108,2
121,51,40,363,2,363,2
122,27,22,178,2,178,2
123,15,10,98,3,98,2
124,14,10,178,1,178,2
125,8,4,100,2,100,2
126,9,6,108,1,108,2
127,20,15,164,2,164,2
128,30,22,232,1,232,2
129,13,10,136,2,136,2
130,10,9,114,2,114,2
131,15,14,114,3,114,2
132,16,13,103,2,103,2
133,269,12,83,5,83,2
134,30,22,201,2,201,2
135,15,12,80,1,80,2
136,9,4,85,2,85,2
137,25,21,104,3,104,2
138,37,25,178,2,178,2
139,25,18,193,1,193,2
140,22,19,174,2,174,2
141,19,12,84,3,84,2
142,32,22,206,1,206,2
143,14,10,91,1,91,2
144,7,6,84,2,84,2
145,39,35,275,1,275,2
146,23,15,152,2,152,2
147,34,29,179,2,179,2
148,31,26,293,2,293,2
149,39,26,256,3,256,2
150,23,17,144,2,144,2
151,17,12,98,2,98,2
152,30,28,486,1,486,2
153,46,34,245,2,245,2
154,18,16,92,1,92,2
155,31,26,181,2,181,2
156,5,4,93,2,93,2
157,31,22,154,1,154,2
158,30,18,197,1,197,2
159,39,33,223,2,223,2
160,14,12,105,3,105,2
161,14,12,116,2,116,2
162,24,19,172,1,172,2
163,28,20,202,2,202,2
164,10,8,108,1,108,2
165,6,4,77,2,77,2
166,15,11,107,1,107,2
167,18,13,102,3,102,2
168,23,20,146,2,146,2
169,29,20,188,2,188,2
170,17,13,137,1,137,2
171,20,16,179,2,179,2
172,16,11,90,3,90,2
173,12,9,82,3,82,2
174,13,10,105,1,105,2
175,34,25,190,2,190,2
176,8,4,66,3,66,1
177,855,14,72,5,72,3
178,4,4,71,3,71,3
179,9,5,49,4,49,3
180,17,11,88,3,88,3
181,28,19,170,2,170,2
182,378,1,0,4,0,3
183,18,13,108,2,108,2
184,13,10,74,3,74,3
